t,binance_futures_spread,binance_spot_spread,binance_btc_price,,,,,,,,
2023-05-01,0.186220032,0.422780336,28079.41042,,,,,,,,
2023-05-02,0.187062109,0.425914553,28683.16442,,,,,,,,
2023-05-03,0.188343977,0.443569948,29034.74569,,,,,,,,
2023-05-04,0.188721239,0.440710817,28851.23696,,,,,,,,
2023-05-05,0.189666767,0.445294745,29536.05718,,,,,,,,
2023-05-06,0.189934494,0.452089581,28901.1596,,,,,,,,
2023-05-07,0.190214742,0.457682091,28474.26543,,,,,,,,
2023-05-08,0.192439465,0.47176793,27692.93266,,,,,,,,
2023-05-09,0.193399304,0.468388688,27646.01563,,,,,,,,
2023-05-10,0.194694993,0.475864347,27619.09478,,,,,,,,
2023-05-11,0.196295212,0.485521084,26984.32917,,,,,,,,
2023-05-12,0.198598292,0.488331953,26811.12331,,,,,,,,
2023-05-13,0.198712465,0.485886307,26789.2194,,,,,,,,
2023-05-14,0.198892749,0.486406144,26929.7968,,,,,,,,
2023-05-15,0.199332556,0.488740697,27171.26565,,,,,,,,
2023-05-16,0.199968427,0.489303704,27039.43638,,,,,,,,
2023-05-17,0.200066895,0.490534059,27410.96406,,,,,,,,
2023-05-18,0.200363036,0.491180577,26829.26231,,,,,,,,
2023-05-19,0.200278853,0.486931221,26891.78804,,,,,,,,
2023-05-20,0.198777659,0.481898874,27114.08161,,,,,,,,
2023-05-21,0.197308483,0.480070996,26753.86418,,,,,,,,
2023-05-22,0.196375484,0.480416238,26858.00511,,,,,,,,
2023-05-23,0.195295811,0.478412455,27224.66463,,,,,,,,
2023-05-24,0.194832275,0.475593671,26331.14225,,,,,,,,
2023-05-25,0.193889375,0.471660578,26479.77049,,,,,,,,
2023-05-26,0.192542998,0.466214834,26719.98972,,,,,,,,
2023-05-27,0.190827775,0.461764944,26870.44028,,,,,,,,
2023-05-28,0.189746074,0.459391964,28078.88451,,,,,,,,
2023-05-29,0.188851242,0.456760045,27746.50915,,,,,,,,
2023-05-30,0.188092118,0.454189181,27705.35265,,,,,,,,
2023-05-31,0.18733205,0.45383082,27218.07629,,,,,,,,
