t,private_company,public_company,sum,,,,,,,,
2021-01-01,12,84726,84738,,,,,,,,
2021-01-02,12,84726,84738,,,,,,,,
2021-01-03,12,84726,84738,,,,,,,,
2021-01-04,12,84726,84738,,,,,,,,
2021-01-05,12,84726,84738,,,,,,,,
2021-01-06,12,84726,84738,,,,,,,,
2021-01-07,12,84726,84738,,,,,,,,
2021-01-08,12,84726,84738,,,,,,,,
2021-01-09,12,84726,84738,,,,,,,,
2021-01-10,12,84726,84738,,,,,,,,
2021-01-11,12,84726,84738,,,,,,,,
2021-01-12,12,84726,84738,,,,,,,,
2021-01-13,12,84726,84738,,,,,,,,
2021-01-14,12,84726,84738,,,,,,,,
2021-01-15,12,84726,84738,,,,,,,,
2021-01-16,12,84726,84738,,,,,,,,
2021-01-17,12,84726,84738,,,,,,,,
2021-01-18,12,84726,84738,,,,,,,,
2021-01-19,12,84726,84738,,,,,,,,
2021-01-20,12,84726,84738,,,,,,,,
2021-01-21,12,84726,84738,,,,,,,,
2021-01-22,12,85040,85052,,,,,,,,
2021-01-23,12,85040,85052,,,,,,,,
2021-01-24,12,85040,85052,,,,,,,,
2021-01-25,12,89853,89865,,,,,,,,
2021-01-26,12,89853,89865,,,,,,,,
2021-01-27,12,89853,89865,,,,,,,,
2021-01-28,12,89853,89865,,,,,,,,
2021-01-29,12,89853,89865,,,,,,,,
2021-01-30,12,89853,89865,,,,,,,,
2021-01-31,12,90079,90091,,,,,,,,
2021-02-01,25736,90079,115815,,,,,,,,
2021-02-02,25736,90374,116110,,,,,,,,
2021-02-03,25736,90374,116110,,,,,,,,
2021-02-04,25736,90374,116110,,,,,,,,
2021-02-05,25736,90374,116110,,,,,,,,
2021-02-06,25736,90374,116110,,,,,,,,
2021-02-07,25736,90374,116110,,,,,,,,
2021-02-08,25736,133574,159310,,,,,,,,
2021-02-09,25736,133574,159310,,,,,,,,
2021-02-10,25736,133574,159310,,,,,,,,
2021-02-11,25736,133574,159310,,,,,,,,
2021-02-12,25736,133574,159310,,,,,,,,
2021-02-13,25736,133574,159310,,,,,,,,
2021-02-14,25736,133574,159310,,,,,,,,
2021-02-15,25736,133574,159310,,,,,,,,
2021-02-16,25736,133574,159310,,,,,,,,
2021-02-17,25736,133574,159310,,,,,,,,
2021-02-18,25736,133574,159310,,,,,,,,
2021-02-19,25736,133574,159310,,,,,,,,
2021-02-20,25736,133574,159310,,,,,,,,
2021-02-21,25736,133574,159310,,,,,,,,
2021-02-22,25736,133574,159310,,,,,,,,
2021-02-23,25736,136892,162628,,,,,,,,
2021-02-24,25736,156344,182080,,,,,,,,
2021-02-25,25736,156344,182080,,,,,,,,
2021-02-26,25736,156344,182080,,,,,,,,
2021-02-27,25736,156344,182080,,,,,,,,
2021-02-28,25736,156478,182214,,,,,,,,
2021-03-01,25736,156806,182542,,,,,,,,
2021-03-02,25736,156806,182542,,,,,,,,
2021-03-03,25736,156806,182542,,,,,,,,
2021-03-04,25736,156806,182542,,,,,,,,
2021-03-05,25736,157011,182747,,,,,,,,
2021-03-06,25736,157011,182747,,,,,,,,
2021-03-07,25736,157011,182747,,,,,,,,
2021-03-08,25736,158181,183917,,,,,,,,
2021-03-09,25736,158181,183917,,,,,,,,
2021-03-10,25736,158181,183917,,,,,,,,
2021-03-11,25736,158181,183917,,,,,,,,
2021-03-12,25736,158443,184179,,,,,,,,
2021-03-13,25736,158443,184179,,,,,,,,
2021-03-14,25736,158443,184179,,,,,,,,
2021-03-15,25736,158571,184307,,,,,,,,
2021-03-16,25736,158571,184307,,,,,,,,
2021-03-17,25736,158571,184307,,,,,,,,
2021-03-18,25736,158571,184307,,,,,,,,
2021-03-19,25736,158571,184307,,,,,,,,
2021-03-20,25736,158571,184307,,,,,,,,
2021-03-21,25736,158571,184307,,,,,,,,
2021-03-22,25736,158571,184307,,,,,,,,
2021-03-23,25736,158571,184307,,,,,,,,
2021-03-24,25736,158571,184307,,,,,,,,
2021-03-25,25736,158571,184307,,,,,,,,
2021-03-26,25736,158571,184307,,,,,,,,
2021-03-27,25736,158571,184307,,,,,,,,
2021-03-28,25736,158571,184307,,,,,,,,
2021-03-29,25736,158571,184307,,,,,,,,
2021-03-30,25736,158571,184307,,,,,,,,
2021-03-31,25736,153905,179641,,,,,,,,
2021-04-01,25736,153905,179641,,,,,,,,
2021-04-02,25736,153905,179641,,,,,,,,
2021-04-03,25736,153905,179641,,,,,,,,
2021-04-04,25736,153905,179641,,,,,,,,
2021-04-05,25736,154158,179894,,,,,,,,
2021-04-06,25736,154158,179894,,,,,,,,
2021-04-07,25736,154158,179894,,,,,,,,
2021-04-08,25736,154158,179894,,,,,,,,
2021-04-09,25736,154158,179894,,,,,,,,
2021-04-10,25736,154158,179894,,,,,,,,
2021-04-11,25736,154158,179894,,,,,,,,
2021-04-12,25736,154158,179894,,,,,,,,
2021-04-13,25736,154158,179894,,,,,,,,
2021-04-14,25736,154158,179894,,,,,,,,
2021-04-15,25736,154158,179894,,,,,,,,
2021-04-16,25736,154158,179894,,,,,,,,
2021-04-17,25736,154158,179894,,,,,,,,
2021-04-18,25736,154158,179894,,,,,,,,
2021-04-19,25736,154158,179894,,,,,,,,
2021-04-20,25736,154158,179894,,,,,,,,
2021-04-21,25736,154158,179894,,,,,,,,
2021-04-22,25736,154158,179894,,,,,,,,
2021-04-23,25736,154158,179894,,,,,,,,
2021-04-24,25736,154158,179894,,,,,,,,
2021-04-25,25736,154158,179894,,,,,,,,
2021-04-26,25736,154158,179894,,,,,,,,
2021-04-27,25736,154158,179894,,,,,,,,
2021-04-28,25736,155875,181611,,,,,,,,
2021-04-29,25736,155875,181611,,,,,,,,
2021-04-30,25736,155875,181611,,,,,,,,
2021-05-01,25736,155875,181611,,,,,,,,
2021-05-02,25736,155875,181611,,,,,,,,
2021-05-03,25736,155875,181611,,,,,,,,
2021-05-04,25736,155875,181611,,,,,,,,
2021-05-05,25736,156288,182024,,,,,,,,
2021-05-06,25736,156545,182281,,,,,,,,
2021-05-07,25736,156545,182281,,,,,,,,
2021-05-08,25736,156545,182281,,,,,,,,
2021-05-09,25736,156545,182281,,,,,,,,
2021-05-10,25736,156545,182281,,,,,,,,
2021-05-11,25736,156545,182281,,,,,,,,
2021-05-12,25736,156545,182281,,,,,,,,
2021-05-13,25736,156816,182552,,,,,,,,
2021-05-14,25736,156816,182552,,,,,,,,
2021-05-15,25736,156816,182552,,,,,,,,
2021-05-16,25736,156816,182552,,,,,,,,
2021-05-17,25736,156816,182552,,,,,,,,
2021-05-18,25736,157045,182781,,,,,,,,
2021-05-19,25736,157045,182781,,,,,,,,
2021-05-20,25736,157045,182781,,,,,,,,
2021-05-21,25736,157045,182781,,,,,,,,
2021-05-22,25736,157045,182781,,,,,,,,
2021-05-23,25736,157045,182781,,,,,,,,
2021-05-24,25736,157045,182781,,,,,,,,
2021-05-25,25736,157045,182781,,,,,,,,
2021-05-26,25736,157045,182781,,,,,,,,
2021-05-27,25736,157045,182781,,,,,,,,
2021-05-28,25736,157045,182781,,,,,,,,
