t,sum,,,,,,,,
2022-12-23,100,,,,,,,,
2022-12-24,100,,,,,,,,
2022-12-25,99.98,,,,,,,,
2022-12-26,100,,,,,,,,
2022-12-27,100,,,,,,,,
2022-12-28,99.99,,,,,,,,
2022-12-29,99.98,,,,,,,,
2022-12-30,99.99,,,,,,,,
2022-12-31,99.99,,,,,,,,
2023-01-01,100,,,,,,,,
2023-01-02,99.99,,,,,,,,
2023-01-03,100,,,,,,,,
2023-01-04,99.98,,,,,,,,
2023-01-05,99.99,,,,,,,,
2023-01-06,100,,,,,,,,
2023-01-07,100,,,,,,,,
2023-01-08,100,,,,,,,,
2023-01-09,100,,,,,,,,
2023-01-10,100,,,,,,,,
2023-01-11,100,,,,,,,,
2023-01-12,100,,,,,,,,
2023-01-13,997187.8637,,,,,,,,
2023-01-14,1051058.959,,,,,,,,
2023-01-15,1042760.197,,,,,,,,
2023-01-16,1058865.545,,,,,,,,
2023-01-17,100,,,,,,,,
2023-01-18,100,,,,,,,,
2023-01-19,99.95,,,,,,,,
2023-01-20,99.94,,,,,,,,
2023-01-21,100,,,,,,,,
2023-01-22,99.98,,,,,,,,
2023-01-23,107.4156,,,,,,,,
2023-01-24,107.4156,,,,,,,,
2023-01-25,107.3941,,,,,,,,
2023-01-26,107.4048,,,,,,,,
2023-01-27,107.4156,,,,,,,,
2023-01-28,107.3511,,,,,,,,
2023-01-29,107.4156,,,,,,,,
2023-01-30,107.4156,,,,,,,,
2023-01-31,107.3941,,,,,,,,
2023-02-01,528.2635,,,,,,,,
2023-02-02,497421.1468,,,,,,,,
2023-02-03,498543.1314,,,,,,,,
2023-02-04,498005.3026,,,,,,,,
2023-02-05,494356.4557,,,,,,,,
2023-02-06,491641.6097,,,,,,,,
2023-02-07,498266.4404,,,,,,,,
2023-02-08,495825.3594,,,,,,,,
2023-02-09,484325.0357,,,,,,,,
2023-02-10,482101.114,,,,,,,,
2023-02-11,484788.4435,,,,,,,,
2023-02-12,482069.5504,,,,,,,,
2023-02-13,482212.4722,,,,,,,,
2023-02-14,487209.8662,,,,,,,,
2023-02-15,502733.7963,,,,,,,,
2023-02-16,498909.5827,,,,,,,,
2023-02-17,506359.073,,,,,,,,
2023-02-18,505732.1958,,,,,,,,
2023-02-19,503559.5566,,,,,,,,
2023-02-20,507402.054,,,,,,,,
2023-02-21,502998.1757,,,,,,,,
2023-02-22,501174.2216,,,,,,,,
2023-02-23,501689.8516,,,,,,,,
2023-02-24,495832.8052,,,,,,,,
2023-02-25,495272.5984,,,,,,,,
2023-02-26,499441.181,,,,,,,,
2023-02-27,499204.4392,,,,,,,,
2023-02-28,496589.5376,,,,,,,,
2023-03-01,503712.123,,,,,,,,
2023-03-02,407793.3194,,,,,,,,
2023-03-03,398402.5359,,,,,,,,
2023-03-04,398188.0621,,,,,,,,
2023-03-05,398179.3067,,,,,,,,
2023-03-06,548402.8377,,,,,,,,
2023-03-07,744886.8084,,,,,,,,
2023-03-08,741032.6877,,,,,,,,
2023-03-09,829513.1987,,,,,,,,
2023-03-10,829032.7129,,,,,,,,
2023-03-11,832874.03,,,,,,,,
2023-03-12,960309.3508,,,,,,,,
2023-03-13,1118412.113,,,,,,,,
2023-03-14,1162059.334,,,,,,,,
2023-03-15,1284113.005,,,,,,,,
2023-03-16,1286468.552,,,,,,,,
2023-03-17,1438518.124,,,,,,,,
2023-03-18,1435506.333,,,,,,,,
2023-03-19,1442063.687,,,,,,,,
2023-03-20,1444257.428,,,,,,,,
2023-03-21,1469838.794,,,,,,,,
2023-03-22,1359747.729,,,,,,,,
2023-03-23,5981030.009,,,,,,,,
2023-03-24,10646450.58,,,,,,,,
2023-03-25,10615723.79,,,,,,,,
2023-03-26,10875460.13,,,,,,,,
2023-03-27,10559770.38,,,,,,,,
2023-03-28,10911343.9,,,,,,,,
2023-03-29,11275240.23,,,,,,,,
2023-03-30,11219648.62,,,,,,,,
2023-03-31,8040620.435,,,,,,,,
2023-04-01,8036527.397,,,,,,,,
2023-04-02,7959261.462,,,,,,,,
2023-04-03,7925442.454,,,,,,,,
2023-04-04,8409358.076,,,,,,,,
2023-04-05,8487751.633,,,,,,,,
2023-04-06,14765659.79,,,,,,,,
2023-04-07,14844803.99,,,,,,,,
2023-04-08,14817711.76,,,,,,,,
2023-04-09,14913330.28,,,,,,,,
2023-04-10,15287842.49,,,,,,,,
2023-04-11,15412444.67,,,,,,,,
2023-04-12,15456774.47,,,,,,,,
2023-04-13,20646571.32,,,,,,,,
2023-04-14,30538305.02,,,,,,,,
2023-04-15,30467097.81,,,,,,,,
2023-04-16,30530448.83,,,,,,,,
2023-04-17,32233420.72,,,,,,,,
2023-04-18,32507435.56,,,,,,,,
2023-04-19,38119037.94,,,,,,,,
2023-04-20,37856127.34,,,,,,,,
2023-04-21,37263992.79,,,,,,,,
2023-04-22,38327448.77,,,,,,,,
2023-04-23,38175280.93,,,,,,,,
2023-04-24,38077545.81,,,,,,,,
2023-04-25,44057974.53,,,,,,,,
2023-04-26,44078942.73,,,,,,,,
2023-04-27,44747441.8,,,,,,,,
2023-04-28,56790104.71,,,,,,,,
2023-04-29,56762820.77,,,,,,,,
2023-04-30,56738280.32,,,,,,,,
2023-05-01,56029577.43,,,,,,,,
2023-05-02,56412271.96,,,,,,,,
2023-05-03,56652348.82,,,,,,,,
2023-05-04,56525431.36,,,,,,,,
2023-05-05,56695318.79,,,,,,,,
2023-05-06,56264349.6,,,,,,,,
2023-05-07,56199136.68,,,,,,,,
2023-05-08,55618457.6,,,,,,,,
2023-05-09,55506634.85,,,,,,,,
2023-05-10,56027933.82,,,,,,,,
2023-05-11,56592142.99,,,,,,,,
2023-05-12,56510614.48,,,,,,,,
2023-05-13,56551045.66,,,,,,,,
2023-05-14,56611076.6,,,,,,,,
2023-05-15,56926094.55,,,,,,,,
2023-05-16,57300767.5,,,,,,,,
2023-05-17,57572988.41,,,,,,,,
2023-05-18,64695379.86,,,,,,,,
2023-05-19,64765136.08,,,,,,,,
2023-05-20,64918612.32,,,,,,,,
2023-05-21,64667162.65,,,,,,,,
2023-05-22,64985877.37,,,,,,,,
2023-05-23,65365343.95,,,,,,,,
2023-05-24,65123952.6,,,,,,,,
2023-05-25,116042446.9,,,,,,,,
2023-05-26,116173411.2,,,,,,,,
2023-05-27,116473055.3,,,,,,,,
2023-05-28,119907073.2,,,,,,,,
2023-05-29,122674361.2,,,,,,,,
2023-05-30,147499941,,,,,,,,
2023-05-31,155052794.9,,,,,,,,
2023-06-01,154632755.8,,,,,,,,
2023-06-02,167830193.1,,,,,,,,
2023-06-03,166926825.8,,,,,,,,
2023-06-04,168081116.7,,,,,,,,
2023-06-05,189564114.1,,,,,,,,
2023-06-06,195448174.9,,,,,,,,
2023-06-07,189951915.1,,,,,,,,
2023-06-08,191651672.5,,,,,,,,
2023-06-09,194800968.6,,,,,,,,
2023-06-10,191419804.1,,,,,,,,
2023-06-11,191829271.3,,,,,,,,
2023-06-12,190438126.8,,,,,,,,
2023-06-13,188813444.1,,,,,,,,
2023-06-14,220091151.4,,,,,,,,
2023-06-15,213146178.9,,,,,,,,
2023-06-16,216331393.8,,,,,,,,
2023-06-17,219582671.5,,,,,,,,
2023-06-18,219180357,,,,,,,,
2023-06-19,224835874.4,,,,,,,,
2023-06-20,237299400.4,,,,,,,,
2023-06-21,271550416.7,,,,,,,,
2023-06-22,281325314,,,,,,,,
2023-06-23,284235171.8,,,,,,,,
2023-06-24,283297685.5,,,,,,,,
2023-06-25,286931577.2,,,,,,,,
2023-06-26,285739110.9,,,,,,,,
2023-06-27,290579878,,,,,,,,
2023-06-28,287620122,,,,,,,,
2023-06-29,292574819.7,,,,,,,,
2023-06-30,297879958.6,,,,,,,,
2023-07-01,311831855.8,,,,,,,,
2023-07-02,312027096.3,,,,,,,,
2023-07-03,319141672,,,,,,,,
2023-07-04,320979268.8,,,,,,,,
2023-07-05,313987134.5,,,,,,,,
2023-07-06,306536901.7,,,,,,,,
2023-07-07,309393543.8,,,,,,,,
2023-07-08,307605563.2,,,,,,,,
2023-07-09,307867815.8,,,,,,,,
2023-07-10,310973574.9,,,,,,,,
2023-07-11,312872474.3,,,,,,,,
2023-07-12,308136018.2,,,,,,,,
2023-07-13,323587227.3,,,,,,,,
2023-07-14,311878533.8,,,,,,,,
2023-07-15,319164707.5,,,,,,,,
2023-07-16,318376488.7,,,,,,,,
2023-07-17,318115360.5,,,,,,,,
2023-07-18,315860546.8,,,,,,,,
2023-07-19,325848195.3,,,,,,,,
2023-07-20,324632197.7,,,,,,,,
2023-07-21,323869227.9,,,,,,,,
2023-07-22,322236091.2,,,,,,,,
2023-07-23,322341111.8,,,,,,,,
2023-07-24,314326315.2,,,,,,,,
2023-07-25,315037405.4,,,,,,,,
2023-07-26,330987567,,,,,,,,
2023-07-27,338147159.7,,,,,,,,
2023-07-28,341300491.4,,,,,,,,
2023-07-29,340891837.7,,,,,,,,
2023-07-30,343911929.9,,,,,,,,
2023-07-31,343650024.5,,,,,,,,
2023-08-01,349171807.4,,,,,,,,
2023-08-02,349305197,,,,,,,,
2023-08-03,348735886.3,,,,,,,,
2023-08-04,343365942.2,,,,,,,,
2023-08-05,343510926.9,,,,,,,,
2023-08-06,345437139.6,,,,,,,,
2023-08-07,351142367.6,,,,,,,,
2023-08-08,365559501.4,,,,,,,,
2023-08-09,361745699,,,,,,,,
2023-08-10,373995390.7,,,,,,,,
2023-08-11,370967080.8,,,,,,,,
2023-08-12,371467107.8,,,,,,,,
2023-08-13,367955840.2,,,,,,,,
2023-08-14,368135533.2,,,,,,,,
2023-08-15,370627408,,,,,,,,
2023-08-16,378731975.3,,,,,,,,
2023-08-17,345390601.2,,,,,,,,
2023-08-18,356965748.7,,,,,,,,
2023-08-19,359605921.2,,,,,,,,
2023-08-20,362489413.2,,,,,,,,
2023-08-21,358486252.5,,,,,,,,
2023-08-22,363235231.7,,,,,,,,
