t,fed_rate,FEDFUNDS,aave APY V2,AAVE APY V3,Comp V2 APY,Comp V3 APY,Morpho P2P APY,Borrow Rate wstETH,Borrow Rate BTC,defi_rate,margin_rate
2022-02-11,0.08,,2.0951,,2.63,,,,,2.36255,
2022-02-12,0.08,,1.90504,,2.37,,,,,2.13752,
2022-02-13,0.08,,1.80437,,2.45,,,,,2.127185,
2022-02-14,0.08,,1.79514,,2.42,,,,,2.10757,
2022-02-15,0.08,,1.8259,,2.47,,,,,2.14795,
2022-02-16,0.08,,1.85813,,2.49,,,,,2.174065,
2022-02-17,0.08,,1.83212,,2.42,,,,,2.12606,
2022-02-18,0.08,,1.83845,,2.35,,,,,2.094225,
2022-02-19,0.08,,1.79466,,2.34,,,,,2.06733,
2022-02-20,0.08,,1.80138,,2.23,,,,,2.01569,
2022-02-21,0.08,,1.75536,,2.22,,,,,1.98768,
2022-02-22,0.08,,1.49495,,2.12,,,,,1.807475,
2022-02-23,0.08,,1.46311,,2.15,,,,,1.806555,
2022-02-24,0.08,,1.42756,,2.02,,,,,1.72378,
2022-02-25,0.08,,1.36672,,2.12,,,,,1.74336,
2022-02-26,0.08,,1.41604,,2.14,,,,,1.77802,
2022-02-27,0.08,,1.40991,,2.2,,,,,1.804955,
2022-02-28,0.08,,1.34227,,2.27,,,,,1.806135,
2022-03-01,0.2,,1.42952,,2.35,,,,,1.88976,
2022-03-02,0.2,,1.47828,,2.36,,,,,1.91914,
2022-03-03,0.2,,1.49437,,2.34,,,,,1.917185,
2022-03-04,0.2,,1.57971,,2.41,,,,,1.994855,
2022-03-05,0.2,,1.55881,,2.77,,,,,2.164405,
2022-03-06,0.2,,1.57428,,2.71,,,,,2.14214,
2022-03-07,0.2,,1.57601,,2.65,,,,,2.113005,
2022-03-08,0.2,,1.59346,,2.64,,,,,2.11673,
2022-03-09,0.2,,1.62819,,2.72,,,,,2.174095,
2022-03-10,0.2,,1.66526,,2.67,,,,,2.16763,
2022-03-11,0.2,,1.62009,,2.59,,,,,2.105045,
2022-03-12,0.2,,1.99981,,2.61,,,,,2.304905,
2022-03-13,0.2,,1.87175,,2.6,,,,,2.235875,
2022-03-14,0.2,,1.84899,,2.61,,,,,2.229495,
2022-03-15,0.2,,1.87318,,2.63,,,,,2.25159,
2022-03-16,0.2,,1.86479,,2.7,,,,,2.282395,
2022-03-17,0.2,,1.85141,,2.73,,,,,2.290705,
2022-03-18,0.2,,1.79695,,2.72,,,,,2.258475,
2022-03-19,0.2,,1.82254,,2.62,,,,,2.22127,
2022-03-20,0.2,,1.69111,,2.6,,,,,2.145555,
2022-03-21,0.2,,1.71391,,2.6,,,,,2.156955,
2022-03-22,0.2,,1.89973,,2.63,,,,,2.264865,
2022-03-23,0.2,,1.96449,,2.66,,,,,2.312245,
2022-03-24,0.2,,2.02252,,2.68,,,,,2.35126,
2022-03-25,0.2,,2.1692,,2.69,,,,,2.4296,
2022-03-26,0.2,,2.36717,,2.79,,,,,2.578585,
2022-03-27,0.2,,2.37239,,2.89719,,,,,2.63479,
2022-03-28,0.2,,2.50665,,2.95817,,,,,2.73241,
2022-03-29,0.2,,2.5743,,2.89295,,,,,2.733625,
2022-03-30,0.2,,2.38566,,3.16265,,,,,2.774155,
2022-03-31,0.2,,2.52335,,3.18742,,,,,2.855385,
2022-04-01,0.33,,2.61136,,3.25414,,,,,2.93275,
2022-04-02,0.33,,2.63113,,3.26617,,,,,2.94865,
2022-04-03,0.33,,2.63734,,3.34257,,,,,2.989955,
2022-04-04,0.33,,2.62868,,3.31118,,,,,2.96993,
2022-04-05,0.33,,2.67326,,3.20809,,,,,2.940675,
2022-04-06,0.33,,2.38583,,3.10465,,,,,2.74524,
2022-04-07,0.33,,2.41217,,3.18854,,,,,2.800355,
2022-04-08,0.33,,2.35994,,2.83594,,,,,2.59794,
2022-04-09,0.33,,2.55471,,2.84411,,,,,2.69941,
2022-04-10,0.33,,2.57195,,2.83809,,,,,2.70502,
2022-04-11,0.33,,2.51271,,2.73986,,,,,2.626285,
2022-04-12,0.33,,2.51471,,2.74094,,,,,2.627825,
2022-04-13,0.33,,2.38108,,3.03193,,,,,2.706505,
2022-04-14,0.33,,2.3734,,3.00158,,,,,2.68749,
2022-04-15,0.33,,2.45145,,3.00901,,,,,2.73023,
2022-04-16,0.33,,2.48787,,3.00388,,,,,2.745875,
2022-04-17,0.33,,2.4703,,3.00114,,,,,2.73572,
2022-04-18,0.33,,2.4579,,3.00267,,,,,2.730285,
2022-04-19,0.33,,2.4885,,3.02593,,,,,2.757215,
2022-04-20,0.33,,2.52052,,2.9908,,,,,2.75566,
2022-04-21,0.33,,2.53516,,2.96386,,,,,2.74951,
2022-04-22,0.33,,2.52473,,2.9365,,,,,2.730615,
2022-04-23,0.33,,2.45518,,2.91907,,,,,2.687125,
2022-04-24,0.33,,2.43935,,2.8693,,,,,2.654325,
2022-04-25,0.33,,2.27894,,2.72848,,,,,2.50371,
2022-04-26,0.33,,2.20748,,2.70725,,,,,2.457365,
2022-04-27,0.33,,2.11626,,2.62145,,,,,2.368855,
2022-04-28,0.33,,2.05342,,2.37153,,,,,2.212475,
2022-04-29,0.33,,2.0636,,2.34369,,,,,2.203645,
2022-04-30,0.33,,2.02876,,2.28064,,,,,2.1547,
2022-05-01,0.77,,1.96274,,2.21489,,,,,2.088815,
2022-05-02,0.77,,1.90863,,2.22348,,,,,2.066055,
2022-05-03,0.77,,1.79897,,2.22017,,,,,2.00957,
2022-05-04,0.77,,1.77871,,2.25085,,,,,2.01478,
2022-05-05,0.77,,1.80674,,2.20959,,,,,2.008165,
2022-05-06,0.77,,1.81612,,1.86724,,,,,1.84168,
2022-05-07,0.77,,1.81033,,1.79253,,,,,1.80143,
2022-05-08,0.77,,1.80089,,1.71977,,,,,1.76033,
2022-05-09,0.77,,1.51066,,1.44635,,,,,1.478505,
2022-05-10,0.77,,1.36516,,1.4558,,,,,1.41048,
2022-05-11,0.77,,1.50638,,0.86649,,,,,1.186435,
2022-05-12,0.77,,1.47731,,0.9745,,,,,1.225905,
2022-05-13,0.77,,2.42828,,0.98034,,,,,1.70431,
2022-05-14,0.77,,2.26204,,1.12366,,,,,1.69285,
2022-05-15,0.77,,2.17893,,1.18072,,,,,1.679825,
2022-05-16,0.77,,2.23399,,1.20186,,,,,1.717925,
2022-05-17,0.77,,2.14811,,1.36675,,,,,1.75743,
2022-05-18,0.77,,1.72,,1.33408,,,,,1.52704,
2022-05-19,0.77,,1.57905,,1.31386,,,,,1.446455,
2022-05-20,0.77,,1.46901,,1.32241,,,,,1.39571,
2022-05-21,0.77,,1.4757,,1.34168,,,,,1.40869,
2022-05-22,0.77,,1.40322,,1.44555,,,,,1.424385,
2022-05-23,0.77,,1.07015,,1.41976,,,,,1.244955,
2022-05-24,0.77,,0.92818,,1.36038,,,,,1.14428,
2022-05-25,0.77,,0.937,,1.35514,,,,,1.14607,
2022-05-26,0.77,,0.90468,,1.25948,,,,,1.08208,
2022-05-27,0.77,,0.95482,,1.08546,,,,,1.02014,
2022-05-28,0.77,,0.94392,,1.09027,,,,,1.017095,
2022-05-29,0.77,,0.93331,,1.07842,,,,,1.005865,
2022-05-30,0.77,,0.99429,,1.16585,,,,,1.08007,
2022-05-31,0.77,,1.00031,,1.21038,,,,,1.105345,
2022-06-01,1.21,,0.96556,,1.17866,,,,,1.07211,
2022-06-02,1.21,,1.07106,,1.18446,,,,,1.12776,
2022-06-03,1.21,,1.08025,,1.15223,,,,,1.11624,
2022-06-04,1.21,,1.03712,,1.16127,,,,,1.099195,
2022-06-05,1.21,,1.04596,,1.16935,,,,,1.107655,
2022-06-06,1.21,,1.03017,,1.16465,,,,,1.09741,
2022-06-07,1.21,,1.05167,,1.13699,,,,,1.09433,
2022-06-08,1.21,,1.03498,,1.14653,,,,,1.090755,
2022-06-09,1.21,,1.07133,,1.12919,,,,,1.10026,
2022-06-10,1.21,,1.04921,,1.09724,,,,,1.073225,
2022-06-11,1.21,,1.07326,,1.05927,,,,,1.066265,
2022-06-12,1.21,,0.97944,,0.98901,,,,,0.984225,
2022-06-13,1.21,,0.67794,,0.88305,,,,,0.780495,
2022-06-14,1.21,,1.32463,,0.91965,,,,,1.12214,
2022-06-15,1.21,,0.96367,,0.94504,,,,,0.954355,9.31
2022-06-16,1.21,,0.92663,,0.91326,,,,,0.919945,9.31
2022-06-17,1.21,,0.91126,,0.6361,,,,,0.77368,9.31
2022-06-18,1.21,,0.90791,,0.49215,,,,,0.70003,9.31
2022-06-19,1.21,,0.83531,,0.52176,,,,,0.678535,9.31
2022-06-20,1.21,,0.81872,,0.54999,,,,,0.684355,9.31
2022-06-21,1.21,,0.83868,,0.58995,,,,,0.714315,9.31
2022-06-22,1.21,,0.7428,,0.62667,,,,,0.684735,9.31
2022-06-23,1.21,,0.64427,,0.62722,,,,,0.635745,9.31
2022-06-24,1.21,,0.64237,,0.64214,,,,,0.642255,9.31
2022-06-25,1.21,,0.65587,,0.8067,,,,,0.731285,9.31
2022-06-26,1.21,,0.59218,,0.81919,,,,,0.705685,9.31
2022-06-27,1.21,,0.59122,,0.84821,,,,,0.719715,9.31
2022-06-28,1.21,,0.57972,,0.83034,,,,,0.70503,9.31
2022-06-29,1.21,,0.63841,,0.76896,,,,,0.703685,9.31
