t,total_borrow,total_tvl,,,,,,,,,
2021-01-01,2442959724,4111659042,,,,,,,,,
2021-01-02,2460708739,4207470830,,,,,,,,,
2021-01-03,2636454171,4329817006,,,,,,,,,
2021-01-04,2415368948,4832799893,,,,,,,,,
2021-01-05,2210299848,4932485734,,,,,,,,,
2021-01-06,2368957180,5241554846,,,,,,,,,
2021-01-07,2465856128,5559796471,,,,,,,,,
2021-01-08,2539035569,5741715510,,,,,,,,,
2021-01-09,2642794139,5828304811,,,,,,,,,
2021-01-10,2668850620,5902339282,,,,,,,,,
2021-01-11,2681145822,5844619593,,,,,,,,,
2021-01-12,2452023372,5170788891,,,,,,,,,
2021-01-13,2503352854,5185365418,,,,,,,,,
2021-01-14,2725084466,5479517435,,,,,,,,,
2021-01-15,2794449577,5833190771,,,,,,,,,
2021-01-16,2998911971,5977364857,,,,,,,,,
2021-01-17,3096140511,6269837973,,,,,,,,,
2021-01-18,3105044343,6303046472,,,,,,,,,
2021-01-19,3104159372,6409738362,,,,,,,,,
2021-01-20,3161701144,6741204406,,,,,,,,,
2021-01-21,3133576796,6387310125,,,,,,,,,
2021-01-22,2969601256,5944694712,,,,,,,,,
2021-01-23,2766265523,6155853080,,,,,,,,,
2021-01-24,3029703400,6422060775,,,,,,,,,
2021-01-25,3090237773,6869887618,,,,,,,,,
2021-01-26,3140355870,6856621538,,,,,,,,,
2021-01-27,3142594169,6796236695,,,,,,,,,
2021-01-28,3105797094,6479052077,,,,,,,,,
2021-01-29,3200989958,6916293383,,,,,,,,,
2021-01-30,3293444650,7211952196,,,,,,,,,
2021-01-31,3316971593,7110361672,,,,,,,,,
2021-02-01,3324362955,7053791354,,,,,,,,,
2021-02-02,3430573051,7170222077,,,,,,,,,
2021-02-03,3564883855,7466345388,,,,,,,,,
2021-02-04,3704030556,8090076163,,,,,,,,,
2021-02-05,3816311521,8416028262,,,,,,,,,
2021-02-06,3976884656,9191103830,,,,,,,,,
2021-02-07,3996928649,8919007256,,,,,,,,,
2021-02-08,4053836332,8781496517,,,,,,,,,
2021-02-09,4535955913,9725412087,,,,,,,,,
2021-02-10,4769169779,9980855444,,,,,,,,,
2021-02-11,5026715599,10450840090,,,,,,,,,
2021-02-12,5190832755,10446583084,,,,,,,,,
2021-02-13,5230415138,10540723729,,,,,,,,,
2021-02-14,5306800841,9952863713,,,,,,,,,
2021-02-15,5455600901,10205734805,,,,,,,,,
2021-02-16,5583273615,10164505084,,,,,,,,,
2021-02-17,5971364076,10364723058,,,,,,,,,
2021-02-18,6254593332,10774231310,,,,,,,,,
2021-02-19,6562816085,11359997883,,,,,,,,,
2021-02-20,6892652354,11863636143,,,,,,,,,
2021-02-21,7232184100,12441497764,,,,,,,,,
2021-02-22,7259580781,12419094188,,,,,,,,,
2021-02-23,6932339231,11593334785,,,,,,,,,
2021-02-24,6166583813,10083300144,,,,,,,,,
2021-02-25,6496700546,10939085392,,,,,,,,,
2021-02-26,6863917557,11019703337,,,,,,,,,
2021-02-27,6573914010,10430914326,,,,,,,,,
2021-02-28,6640867723,10429994178,,,,,,,,,
2021-03-01,6568946673,10257143761,,,,,,,,,
2021-03-02,6884975169,11274457906,,,,,,,,,
2021-03-03,6987871906,11421823872,,,,,,,,,
2021-03-04,7312850533,12050411396,,,,,,,,,
2021-03-05,7262426459,11771257962,,,,,,,,,
2021-03-06,7114434718,11449794186,,,,,,,,,
2021-03-07,7104912934,11635463660,,,,,,,,,
2021-03-08,7225338275,11728642172,,,,,,,,,
2021-03-09,7175303083,11884399835,,,,,,,,,
2021-03-10,7309682066,12496557069,,,,,,,,,
2021-03-11,7909804079,12721872989,,,,,,,,,
2021-03-12,8474725897,13290586460,,,,,,,,,
2021-03-13,8310848196,14034978409,,,,,,,,,
2021-03-14,8675265827,14793172805,,,,,,,,,
2021-03-15,9048867512,14669471397,,,,,,,,,
2021-03-16,8696447602,13589322775,,,,,,,,,
2021-03-17,8849046407,13771507291,,,,,,,,,
2021-03-18,8899515599,13822520142,,,,,,,,,
2021-03-19,8971958625,14091825605,,,,,,,,,
2021-03-20,9146050597,14645686527,,,,,,,,,
2021-03-21,9536851536,15093222622,,,,,,,,,
2021-03-22,9455359115,14699369974,,,,,,,,,
2021-03-23,9599389899,14797004696,,,,,,,,,
2021-03-24,9710227802,14618675781,,,,,,,,,
2021-03-25,9583892184,14494327842,,,,,,,,,
2021-03-26,9551728538,14126218973,,,,,,,,,
2021-03-27,9504791892,14635746815,,,,,,,,,
2021-03-28,9524088955,14375118815,,,,,,,,,
2021-03-29,9533804954,14563084250,,,,,,,,,
2021-03-30,9779174883,15348302941,,,,,,,,,
2021-03-31,9802513379,16410110268,,,,,,,,,
2021-04-01,9815736648,16361711928,,,,,,,,,
2021-04-02,10499855206,17191594055,,,,,,,,,
2021-04-03,10961098305,18107783207,,,,,,,,,
2021-04-04,11128045486,18742435233,,,,,,,,,
2021-04-05,11416102589,19084014440,,,,,,,,,
2021-04-06,11582283625,19354274348,,,,,,,,,
2021-04-07,11733325273,19465341606,,,,,,,,,
2021-04-08,11455200375,18575715611,,,,,,,,,
2021-04-09,11440989094,19033428807,,,,,,,,,
2021-04-10,11733367433,19519348116,,,,,,,,,
2021-04-11,12095642508,20080194722,,,,,,,,,
2021-04-12,12212272754,20076601705,,,,,,,,,
2021-04-13,12579178810,21021804255,,,,,,,,,
2021-04-14,13465442277,22179032639,,,,,,,,,
2021-04-15,14282951582,23381432756,,,,,,,,,
2021-04-16,14702277687,23532298914,,,,,,,,,
2021-04-17,14353735286,23929635476,,,,,,,,,
2021-04-18,14920054035,23874746154,,,,,,,,,
2021-04-19,13129351024,20093135892,,,,,,,,,
2021-04-20,13227130193,21057536656,,,,,,,,,
