t,total_borrow,total_tvl,utilisation,total_borrow_7dma,total_tvl_7dma,utilisation_7dma
2021-01-01,2442959724,4111659042,0.594154257,,,
2021-01-02,2460708739,4207470830,0.584842733,,,
2021-01-03,2636454171,4329817006,0.608906604,,,
2021-01-04,2415368948,4832799893,0.499786666,,,
2021-01-05,2210299848,4932485734,0.448110743,,,
2021-01-06,2368957180,5241554846,0.451956957,,,
2021-01-07,2465856128,5559796471,0.443515539,2428657820,4745083403,0.518753357
2021-01-08,2539035569,5741715510,0.442208529,2442382940,4977948613,0.497046825
2021-01-09,2642794139,5828304811,0.453441305,2468395140,5209496324,0.478275192
2021-01-10,2668850620,5902339282,0.452168283,2473023205,5434142364,0.455884003
2021-01-11,2681145822,5844619593,0.458737439,2510991329,5578688035,0.450019828
2021-01-12,2452023372,5170788891,0.474206823,2545523261,5612731343,0.453747839
2021-01-13,2503352854,5185365418,0.482772698,2564722643,5604704282,0.458150088
2021-01-14,2725084466,5479517435,0.497321981,2601755263,5593235849,0.465836723
2021-01-15,2794449577,5833190771,0.479060207,2638242979,5606303743,0.471101248
2021-01-16,2998911971,5977364857,0.50171138,2689116955,5627598035,0.477996973
2021-01-17,3096140511,6269837973,0.493815075,2750158368,5680097848,0.483946515
2021-01-18,3105044343,6303046472,0.492625964,2810715299,5745587402,0.488787733
2021-01-19,3104159372,6409738362,0.484288,2903877585,5922580184,0.490227901
2021-01-20,3161701144,6741204406,0.469011315,2997927341,6144842897,0.488261989
2021-01-21,3133576796,6387310125,0.490594121,3056283388,6274527567,0.487300866
2021-01-22,2969601256,5944694712,0.499538059,3081305056,6290456701,0.490226273
2021-01-23,2766265523,6155853080,0.449371596,3048069849,6315955019,0.482749161
2021-01-24,3029703400,6422060775,0.471764984,3038578833,6337701133,0.479599148
2021-01-25,3090237773,6869887618,0.449823628,3036463609,6418678440,0.473484529
2021-01-26,3140355870,6856621538,0.458003384,3041634537,6482518893,0.469729584
2021-01-27,3142594169,6796236695,0.462402107,3038904970,6490380649,0.468785411
2021-01-28,3105797094,6479052077,0.479359798,3034936441,6503486642,0.467180508
2021-01-29,3200989958,6916293383,0.462818707,3067991970,6642286452,0.461934886
2021-01-30,3293444650,7211952196,0.456664792,3143303273,6793157755,0.462976771
2021-01-31,3316971593,7110361672,0.466498294,3184341587,6891486454,0.462224387
2021-02-01,3324362955,7053791354,0.471287395,3217788041,6917758416,0.46529064
2021-02-02,3430573051,7170222077,0.478447252,3259247639,6962558493,0.468211192
2021-02-03,3564883855,7466345388,0.477460346,3319574737,7058288307,0.470362369
2021-02-04,3704030556,8090076163,0.457848663,3405036660,7288434605,0.46728935
2021-02-05,3816311521,8416028262,0.453457546,3492939740,7502682445,0.465952041
2021-02-06,3976884656,9191103830,0.43268847,3590574027,7785418392,0.462526853
2021-02-07,3996928649,8919007256,0.448136046,3687710749,8043796333,0.459903674
2021-02-08,4053836332,8781496517,0.461633883,3791921231,8290611356,0.458524601
2021-02-09,4535955913,9725412087,0.466402439,3949833069,8655638500,0.456803913
2021-02-10,4769169779,9980855444,0.477831766,4121873915,9014854223,0.456856973
2021-02-11,5026715599,10450840090,0.480986749,4310828921,9352106212,0.460162414
2021-02-12,5190832755,10446583084,0.49689288,4507189098,9642185473,0.466367462
2021-02-13,5230415138,10540723729,0.496210248,4686264881,9834988315,0.475442001
2021-02-14,5306800841,9952863713,0.53319336,4873389480,9982682095,0.487593046
2021-02-15,5455600901,10205734805,0.534562283,5073641561,10186144707,0.498011389
2021-02-16,5583273615,10164505084,0.549291241,5223258375,10248872278,0.509852647
2021-02-17,5971364076,10364723058,0.576123843,5395000418,10303710509,0.523894372
2021-02-18,6254593332,10774231310,0.580514113,5570411523,10349909255,0.538112567
2021-02-19,6562816085,11359997883,0.577712791,5766409141,10480397083,0.549658268
2021-02-20,6892652354,11863636143,0.580989864,6003871601,10669384571,0.561769642
2021-02-21,7232184100,12441497764,0.581295294,6278926352,11024903721,0.568641347
2021-02-22,7259580781,12419094188,0.584549941,6536637763,11341097919,0.575782441
2021-02-23,6932339231,11593334785,0.597959031,6729361423,11545216447,0.582734982
2021-02-24,6166583813,10083300144,0.611564044,6757249957,11505013174,0.587797868
