t,Open,High,Low,Close,Adj_Close,Volume,date,BalanceBTC,CostBasisUSD,ChangeBTC,InvestedUSD,BuyPriceUSD,MarketCap,TotalOutstanding,PriceUSD,BitcoinValueUSD,UnrealisedGainUSD,MVRV,CostBasisPriceUSD,BTCperShare,USDperShare,Yield,ExpandingPctChange,mNAV,BTCPctTotal,USDPctTotal,PremiumUSD
2020-08-12 00:00:00+00:00,13.50,14.07499981,13.50199986,13.70400047,13.70400047,1807000,2020-08-12 00:00:00+00:00,21454,250000000,0,0,10419.14742,1327393742,96861770,11575.51247,248341044.6,-1658955.389,0.993364178,11652.83863,0.000221491,2.563870603,,0,5.345043724,0.048060036,0.009025271,1079052697
2020-08-13 00:00:00+00:00,13.84799957,13.94,13.69,13.69999981,13.69999981,752000,2020-08-13 00:00:00+00:00,21454,250000000,0,0,10419.14742,1327006231,96861770,11773.44812,252587555.9,2587555.871,1.010350223,11652.83863,0.000221491,2.607711545,,0,5.253648488,0.048060036,0.009025271,1074418675
2020-08-14 00:00:00+00:00,13.76200008,14.67500019,13.75,14.66300011,14.66300011,2857000,2020-08-14 00:00:00+00:00,21454,250000000,0,0,10419.14742,1420284144,96861770,11774.40825,252608154.6,2608154.636,1.010432619,11652.83863,0.000221491,2.607924206,,0,5.622479393,0.048060036,0.009025271,1167675989
2020-08-17 00:00:00+00:00,14.80099964,15.17000008,14.18400002,14.38399982,14.38399982,2295000,2020-08-17 00:00:00+00:00,21454,250000000,0,0,10419.14742,1393259683,96861770,12315.76242,264222366.9,14222366.89,1.056889468,11652.83863,0.000221491,2.727829224,,0,5.273057309,0.048060036,0.009025271,1129037316
2020-08-18 00:00:00+00:00,14.44400024,14.59799957,14.17500019,14.31400013,14.31400013,1218000,2020-08-18 00:00:00+00:00,21454,250000000,0,0,10419.14742,1386479388,96861770,11992.696,257291299.9,7291299.904,1.0291652,11652.83863,0.000221491,2.656272954,,0,5.388753481,0.048060036,0.009025271,1129188088
2020-08-19 00:00:00+00:00,14.33899975,14.33899975,13.97200012,14.16699982,14.16699982,1560000,2020-08-19 00:00:00+00:00,21454,250000000,0,0,10419.14742,1372240678,96861770,11736.84906,251802359.8,1802359.83,1.007209439,11652.83863,0.000221491,2.599605188,,0,5.449673621,0.048060036,0.009025271,1120438318
2020-08-20 00:00:00+00:00,14.17500019,14.50599957,14.17500019,14.41399956,14.41399956,1007000,2020-08-20 00:00:00+00:00,21454,250000000,0,0,10419.14742,1396165510,96861770,11867.52034,254605781.5,4605781.459,1.018423126,11652.83863,0.000221491,2.628547687,,0,5.483636318,0.048060036,0.009025271,1141559729
2020-08-21 00:00:00+00:00,14.44,14.59200001,14.35400009,14.50800037,14.50800037,735000,2020-08-21 00:00:00+00:00,21454,250000000,0,0,10419.14742,1405270595,96861770,11524.69895,247250891.3,-2749108.745,0.989003565,11652.83863,0.000221491,2.55261587,,0,5.683581515,0.048060036,0.009025271,1158019704
2020-08-24 00:00:00+00:00,14.64999962,14.92800045,14.53600025,14.8579998,14.8579998,880000,2020-08-24 00:00:00+00:00,21454,250000000,0,0,10419.14742,1439172159,96861770,11771.40805,252543788.4,2543788.385,1.010175154,11652.83863,0.000221491,2.60725969,,0,5.698703453,0.048060036,0.009025271,1186628371
2020-08-25 00:00:00+00:00,14.86999989,15.02900028,14.65499973,14.6960001,14.6960001,1165000,2020-08-25 00:00:00+00:00,21454,250000000,0,0,10419.14742,1423480582,96861770,11358.45432,243684279,-6315721.013,0.974737116,11652.83863,0.000221491,2.515794198,,0,5.841495348,0.048060036,0.009025271,1179796303
2020-08-26 00:00:00+00:00,14.86800003,14.89599991,14.57600021,14.60599995,14.60599995,820000,2020-08-26 00:00:00+00:00,21454,250000000,0,0,10419.14742,1414763007,96861770,11472.04912,246121341.8,-3878658.17,0.984485367,11652.83863,0.000221491,2.540954412,,0,5.748233763,0.048060036,0.009025271,1168641665
2020-08-27 00:00:00+00:00,14.7329998,14.76200008,14.41399956,14.65200043,14.65200043,761000,2020-08-27 00:00:00+00:00,21454,250000000,0,0,10419.14742,1419218695,96861770,11314.67374,242745010.4,-7254989.56,0.970980042,11652.83863,0.000221491,2.506097199,,0,5.84654116,0.048060036,0.009025271,1176473685
2020-08-28 00:00:00+00:00,14.7489996,15.04599953,14.66800022,14.68900013,14.68900013,839000,2020-08-28 00:00:00+00:00,21454,250000000,0,0,10419.14742,1422802552,96861770,11527.88303,247319202.6,-2680797.426,0.98927681,11652.83863,0.000221491,2.553321115,,0,5.752899642,0.048060036,0.009025271,1175483349
2020-08-31 00:00:00+00:00,14.72599983,14.79599953,14.39900017,14.44400024,14.44400024,803000,2020-08-31 00:00:00+00:00,21454,250000000,0,0,10419.14742,1399071430,96861770,11678.34823,250547282.9,547282.8596,1.002189131,11652.83863,0.000221491,2.586647785,,0,5.584061475,0.048060036,0.009025271,1148524147
2020-09-01 00:00:00+00:00,14.5010004,14.90999985,14.5010004,14.88199997,14.88199997,863000,2020-09-01 00:00:00+00:00,21454,250000000,0,0,10419.14742,1441496858,96861770,11970.36486,256812207.6,6812207.624,1.02724883,11652.83863,0.000221491,2.65132681,,0,5.613038692,0.048060036,0.009025271,1184684650
2020-09-02 00:00:00+00:00,14.84599972,15.12300014,14.77400017,15.00,15.00,1005000,2020-09-02 00:00:00+00:00,21454,250000000,0,0,10419.14742,1452926550,96861770,11414.52093,244887132.1,-5112867.889,0.979548528,11652.83863,0.000221491,2.528212442,,0,5.933045716,0.048060036,0.009025271,1208039418
2020-09-03 00:00:00+00:00,14.88,14.88,14.39099979,14.42800045,14.42800045,790000,2020-09-03 00:00:00+00:00,21454,250000000,0,0,10419.14742,1397521661,96861770,10261.49441,220150101.1,-29849898.94,0.880600404,11652.83863,0.000221491,2.272827567,,0,6.348040061,0.048060036,0.009025271,1177371560
2020-09-04 00:00:00+00:00,14.44099998,14.44099998,13.68900013,14.21899986,14.21899986,1248000,2020-09-04 00:00:00+00:00,21454,250000000,0,0,10419.14742,1377277494,96861770,10471.96641,224665567.4,-25334432.57,0.89866227,11652.83863,0.000221491,2.319445199,,0,6.130345249,0.048060036,0.009025271,1152611927
2020-09-08 00:00:00+00:00,14.06099987,14.31,13.88199997,13.88199997,13.88199997,884000,2020-09-08 00:00:00+00:00,21454,250000000,0,0,10419.14742,1344635088,96861770,10108.63545,216870664.9,-33129335.05,0.86748266,11652.83863,0.000221491,2.2389707,,0,6.200170449,0.048060036,0.009025271,1127764423
