t,treasuries,gold,loans_and_private_equity,private_credit,,,,,,,
2021-04-22,35958.76453,152288816.9,0.0001,10903823.13,,,,,,,
2021-04-23,35900.42792,153477509.8,0.0001,11068894.57,,,,,,,
2021-04-24,35831.58792,153485595.7,0.0001,11264478.66,,,,,,,
2021-04-25,35900.62085,152861070.1,0.0001,11277933.95,,,,,,,
2021-04-26,35918.05661,154493797.7,0.0001,11322304.11,,,,,,,
2021-04-27,464740.8001,156720937.8,0.0001,11872731.23,,,,,,,
2021-04-28,455249.2199,156200639,0.0001,11896731.72,,,,,,,
2021-04-29,457378.941,155850312.4,0.0001,11743345.97,,,,,,,
2021-04-30,589248.5519,156818191.4,0.0001,12027771.62,,,,,,,
2021-05-01,586712.4167,157759758.5,0.0001,12145606.97,,,,,,,
2021-05-02,590539.421,159452114.4,0.0001,12511718.54,,,,,,,
2021-05-03,510229.5734,160495608.4,0.0001,12541194.63,,,,,,,
2021-05-04,510257.8831,197919917.6,0.0001,12604977.5,,,,,,,
2021-05-05,509744.9106,198075653.4,0.0001,12597997.67,,,,,,,
2021-05-06,509224.2878,197974691.9,0.0001,12609491.03,,,,,,,
2021-05-07,510004.1805,197527456.6,0.0001,12632140.49,,,,,,,
2021-05-08,509177.1698,196808472.2,0.0001,12804110.1,,,,,,,
2021-05-09,508641.185,197988986.3,0.0001,13412111.79,,,,,,,
2021-05-10,507936.6586,197580628.6,0.0001,13460956.62,,,,,,,
2021-05-11,509759.4204,196416528.6,0.0001,13525611.28,,,,,,,
2021-05-12,509851.3752,196306339.5,0.0001,13743553.29,,,,,,,
2021-05-13,510816.2981,196130981.9,0.0001,13709359.59,,,,,,,
2021-05-14,511294.3983,191738756.7,0.0001,14232781.85,,,,,,,
2021-05-15,314318.6747,189063663.3,0.0001,14998136.42,,,,,,,
2021-05-16,315480.1569,189254530.8,0.0001,14990034.9,,,,,,,
2021-05-17,313734.1839,188812229.9,0.0001,15829433.1,,,,,,,
2021-05-18,315041.5442,225353273.1,0.0001,16564753.39,,,,,,,
2021-05-19,1300440.776,224757387,0.0001,16760991.09,,,,,,,
2021-05-20,1301522.253,224907936.5,0.0001,17980911.17,,,,,,,
2021-05-21,1295104.489,224827459,0.0001,18099899.79,,,,,,,
2021-05-22,1307591.688,222447106.7,0.0001,18210135.71,,,,,,,
2021-05-23,1302475.28,224010888.3,0.0001,18237556.36,,,,,,,
2021-05-24,1320823.752,222369378.1,0.0001,18147353.71,,,,,,,
2021-05-25,1238614.326,224552951.4,0.0001,18112784.11,,,,,,,
2021-05-26,1238893.602,260129893.5,0.0001,18141930.69,,,,,,,
2021-05-27,1240575.746,259663290.4,0.0001,18139855.05,,,,,,,
2021-05-28,1903190.578,295996877,0.0001,18204213.37,,,,,,,
2021-05-29,1899639.324,296102946.6,0.0001,18743076.81,,,,,,,
2021-05-30,1909946.019,296057194,0.0001,18629365.13,,,,,,,
2021-05-31,1908178.372,294722574,0.0001,18763838.41,,,,,,,
2021-06-01,1908455.802,295364423.1,0.0001,18754046.53,,,,,,,
2021-06-02,1903535.384,295916964.3,0.0001,18714539.3,,,,,,,
2021-06-03,1911306.079,295683073.8,0.0001,18767628.92,,,,,,,
2021-06-04,1902905.288,296516814.3,0.0001,18789868.43,,,,,,,
2021-06-05,1905914.634,293967479.4,0.0001,18724294.45,,,,,,,
2021-06-06,1905545.485,295168012.9,0.0001,18656644.36,,,,,,,
2021-06-07,1910134.243,297659533.5,0.0001,19051435.24,,,,,,,
2021-06-08,2035877.421,297820776.7,0.0001,19081488.83,,,,,,,
2021-06-09,2106085.215,297906668.9,0.0001,19656577.72,,,,,,,
2021-06-10,2105843.588,297828244.1,0.0001,19886112.54,,,,,,,
2021-06-11,2544032.148,297982625.1,0.0001,19772081.71,,,,,,,
2021-06-12,2792695.84,296726762.3,0.0001,20824078.62,,,,,,,
2021-06-13,2799715.119,300003978.8,0.0001,22053310.54,,,,,,,
2021-06-14,2576908.841,300809250,0.0001,21960792.99,,,,,,,
2021-06-15,2580568.775,299387815.6,0.0001,21955864.96,,,,,,,
2021-06-16,2571779.024,300288021.9,0.0001,22241655.68,,,,,,,
2021-06-17,2574202.044,300195188.9,0.0001,22166852.33,,,,,,,
2021-06-18,2576657.369,300901682.1,0.0001,22283605,,,,,,,
2021-06-19,2584258.592,299846689.3,0.0001,22499873.99,,,,,,,
2021-06-20,2569727.214,298859826.7,0.0001,22402891.98,,,,,,,
2021-06-21,2571631.749,301326052.5,0.0001,22428132.87,,,,,,,
2021-06-22,3224587.505,303265950,0.0001,22551923.11,,,,,,,
2021-06-23,3226288.153,415674709.5,0.0001,23238839.4,,,,,,,
2021-06-24,3505646.522,414524733,0.0001,23067115.01,,,,,,,
2021-06-25,3473535.936,409732718.3,0.0001,24393841.01,,,,,,,
2021-06-26,3555441.598,413793373.6,0.0001,24290140.23,,,,,,,
2021-06-27,3494717.574,411616495.1,0.0001,24545053.29,,,,,,,
2021-06-28,3511495.201,406608167.4,0.0001,24701146.66,,,,,,,
2021-06-29,3642931.459,408754507.5,0.0001,24570796.8,,,,,,,
2021-06-30,3645546.575,407142454.2,0.0001,24810008.2,,,,,,,
2021-07-01,3728430.371,405410448.4,0.0001,25350444.1,,,,,,,
2021-07-02,4205689.213,408948942.5,0.0001,26052123.44,,,,,,,
2021-07-03,4203625.968,413782517.7,0.0001,25954016.44,,,,,,,
2021-07-04,4195548.927,414357088.6,0.0001,25970789.63,,,,,,,
2021-07-05,4196183.757,413055428.7,0.0001,25707335.24,,,,,,,
2021-07-06,4180074.578,411959945.1,0.0001,25749342.5,,,,,,,
2021-07-07,4333908.571,412202863.2,0.0001,25698026.61,,,,,,,
2021-07-08,4194529.759,411885126.2,0.0001,25604532.67,,,,,,,
2021-07-09,4471618.753,413332916.1,0.0001,25469906.5,,,,,,,
2021-07-10,4453354.147,411634634.3,0.0001,26223851.93,,,,,,,
2021-07-11,4462943.724,416809791.4,0.0001,26137768.52,,,,,,,
2021-07-12,4441839.808,416417969,0.0001,26081251.67,,,,,,,
2021-07-13,4737759.873,415833174,0.0001,26095081.22,,,,,,,
2021-07-14,4821294.496,416051058.7,0.0001,26407216.31,,,,,,,
2021-07-15,4816992.77,416157785.6,0.0001,26331866.93,,,,,,,
2021-07-16,4967628.975,417970521.4,0.0001,26282547.23,,,,,,,
