t,treasuries,gold,loans_and_private_equity,private_credit,treasuries_7dma,gold_7dma,loans_and_private_equity_7dma,private_credit_7dma
2021-04-22,35958.76453,152288816.9,0.0001,10903823.13,,,,
2021-04-23,35900.42792,153477509.8,0.0001,11068894.57,,,,
2021-04-24,35831.58792,153485595.7,0.0001,11264478.66,,,,
2021-04-25,35900.62085,152861070.1,0.0001,11277933.95,,,,
2021-04-26,35918.05661,154493797.7,0.0001,11322304.11,,,,
2021-04-27,464740.8001,156720937.8,0.0001,11872731.23,,,,
2021-04-28,455249.2199,156200639,0.0001,11896731.72,157071.354,154218338.1,0.0001,11372413.91
2021-04-29,457378.941,155850312.4,0.0001,11743345.97,217274.2363,154727123.2,0.0001,11492345.74
2021-04-30,589248.5519,156818191.4,0.0001,12027771.62,296323.9683,155204363.4,0.0001,11629328.18
2021-05-01,586712.4167,157759758.5,0.0001,12145606.97,375021.2296,155814958.1,0.0001,11755203.65
2021-05-02,590539.421,159452114.4,0.0001,12511718.54,454255.3439,156756535.9,0.0001,11931458.59
2021-05-03,510229.5734,160495608.4,0.0001,12541194.63,522014.132,157613937.4,0.0001,12105585.81
2021-05-04,510257.8831,197919917.6,0.0001,12604977.5,528516.5724,163499506,0.0001,12210192.42
2021-05-05,509744.9106,198075653.4,0.0001,12597997.67,536301.6711,169481650.9,0.0001,12310373.27
2021-05-06,509224.2878,197974691.9,0.0001,12609491.03,543708.1492,175499419.4,0.0001,12434108.28
2021-05-07,510004.1805,197527456.6,0.0001,12632140.49,532387.5247,181315028.7,0.0001,12520446.69
2021-05-08,509177.1698,196808472.2,0.0001,12804110.1,521311.0609,186893416.4,0.0001,12614518.57
2021-05-09,508641.185,197988986.3,0.0001,13412111.79,509611.3129,192398683.8,0.0001,12743146.17
2021-05-10,507936.6586,197580628.6,0.0001,13460956.62,509283.7536,197696543.8,0.0001,12874540.74
2021-05-11,509759.4204,196416528.6,0.0001,13525611.28,509212.5447,197481773.9,0.0001,13006059.85
2021-05-12,509851.3752,196306339.5,0.0001,13743553.29,509227.7539,197229014.8,0.0001,13169710.66
2021-05-13,510816.2981,196130981.9,0.0001,13709359.59,509455.1839,196965627.7,0.0001,13326834.74
2021-05-14,511294.3983,191738756.7,0.0001,14232781.85,509639.5008,196138670.5,0.0001,13555497.79
2021-05-15,314318.6747,189063663.3,0.0001,14998136.42,481802.5729,195032269.3,0.0001,13868930.12
2021-05-16,315480.1569,189254530.8,0.0001,14990034.9,454208.1403,193784489.9,0.0001,14094347.71
2021-05-17,313734.1839,188812229.9,0.0001,15829433.1,426464.9296,192531861.5,0.0001,14432701.49
2021-05-18,315041.5442,225353273.1,0.0001,16564753.39,398648.0902,196665682.2,0.0001,14866864.65
2021-05-19,1300440.776,224757387,0.0001,16760991.09,511589.4332,200730117.5,0.0001,15297927.19
2021-05-20,1301522.253,224907936.5,0.0001,17980911.17,624547.4267,204841111,0.0001,15908148.85
2021-05-21,1295104.489,224827459,0.0001,18099899.79,736520.2968,209568068.5,0.0001,16460594.27
2021-05-22,1307591.688,222447106.7,0.0001,18210135.71,878416.4416,214337131.9,0.0001,16919451.31
2021-05-23,1302475.28,224010888.3,0.0001,18237556.36,1019415.745,219302325.8,0.0001,17383382.94
2021-05-24,1320823.752,222369378.1,0.0001,18147353.71,1163285.683,224096204.1,0.0001,17714514.46
2021-05-25,1238614.326,224552951.4,0.0001,18112784.11,1295224.652,223981872.4,0.0001,17935661.71
2021-05-26,1238893.602,260129893.5,0.0001,18141930.69,1286432.199,229035087.6,0.0001,18132938.79
2021-05-27,1240575.746,259663290.4,0.0001,18139855.05,1277725.555,234000138.2,0.0001,18155645.06
2021-05-28,1903190.578,295996877,0.0001,18204213.37,1364594.996,244167197.9,0.0001,18170547
2021-05-29,1899639.324,296102946.6,0.0001,18743076.81,1449173.23,254689460.8,0.0001,18246681.44
2021-05-30,1909946.019,296057194,0.0001,18629365.13,1535954.764,264981790.1,0.0001,18302654.12
2021-05-31,1908178.372,294722574,0.0001,18763838.41,1619862.567,275317961,0.0001,18390723.37
2021-06-01,1908455.802,295364423.1,0.0001,18754046.53,1715554.206,285433885.5,0.0001,18482332.28
2021-06-02,1903535.384,295916964.3,0.0001,18714539.3,1810503.032,290546324.2,0.0001,18564133.51
2021-06-03,1911306.079,295683073.8,0.0001,18767628.92,1906321.651,295692007.5,0.0001,18653815.5
2021-06-04,1902905.288,296516814.3,0.0001,18789868.43,1906280.895,295766284.3,0.0001,18737480.5
2021-06-05,1905914.634,293967479.4,0.0001,18724294.45,1907177.368,295461217.6,0.0001,18734797.31
2021-06-06,1905545.485,295168012.9,0.0001,18656644.36,1906548.721,295334191.7,0.0001,18738694.34
2021-06-07,1910134.243,297659533.5,0.0001,19051435.24,1906828.131,295753757.3,0.0001,18779779.6
2021-06-08,2035877.421,297820776.7,0.0001,19081488.83,1925031.219,296104665,0.0001,18826557.08
2021-06-09,2106085.215,297906668.9,0.0001,19656577.72,1953966.909,296388908.5,0.0001,18961133.99
2021-06-10,2105843.588,297828244.1,0.0001,19886112.54,1981757.982,296695361.4,0.0001,19120917.37
2021-06-11,2544032.148,297982625.1,0.0001,19772081.71,2073347.533,296904762.9,0.0001,19261233.55
2021-06-12,2792695.84,296726762.3,0.0001,20824078.62,2200030.563,297298946.2,0.0001,19561202.72
2021-06-13,2799715.119,300003978.8,0.0001,22053310.54,2327769.082,297989798.5,0.0001,20046440.74
2021-06-14,2576908.841,300809250,0.0001,21960792.99,2423022.596,298439758,0.0001,20462063.28
2021-06-15,2580568.775,299387815.6,0.0001,21955864.96,2500835.647,298663620.7,0.0001,20872688.44
2021-06-16,2571779.024,300288021.9,0.0001,22241655.68,2567363.334,299003814,0.0001,21241985.29
2021-06-17,2574202.044,300195188.9,0.0001,22166852.33,2634271.684,299341948.9,0.0001,21567805.26
2021-06-18,2576657.369,300901682.1,0.0001,22283605,2638932.43,299758957.1,0.0001,21926594.3
2021-06-19,2584258.592,299846689.3,0.0001,22499873.99,2609155.681,300204660.9,0.0001,22165993.64
2021-06-20,2569727.214,298859826.7,0.0001,22402891.98,2576300.266,300041210.6,0.0001,22215933.85
2021-06-21,2571631.749,301326052.5,0.0001,22428132.87,2575546.395,300115039.6,0.0001,22282696.69
2021-06-22,3224587.505,303265950,0.0001,22551923.11,2667549.071,300669058.8,0.0001,22367847.85
