t,sum,t2,price
10-2024,544450000,2021-01-01,29022.4184
09-2024,659310000,2021-01-02,29352.12679
08-2024,638900000,2021-01-03,32163.82494
07-2024,542100000,2021-01-04,33008.2262
06-2024,479150000,2021-01-05,31515.57597
05-2024,782550000,2021-01-06,34082.20605
04-2024,954490000,2021-01-07,36933.52014
03-2024,1045047928,2021-01-08,39547.08408
02-2024,551910000,2021-01-09,40815.96185
01-2024,709200000,2021-01-10,40296.529
12-2023,586930000,2021-01-11,38397.89599
11-2023,767050000,2021-01-12,35669.90669
10-2023,343680000,2021-01-13,33938.33588
09-2023,381338000,2021-01-14,37456.00773
08-2023,267750000,2021-01-15,39232.74997
07-2023,460000000,2021-01-16,36787.52122
06-2023,345082000,2021-01-17,36254.71308
05-2023,624900000,2021-01-18,35804.26389
04-2023,547600000,2021-01-19,36595.46477
03-2023,793249000,2021-01-20,36104.86386
02-2023,813070000,2021-01-21,35587.4892
01-2023,573691000,2021-01-22,30913.69574
12-2022,761000000,2021-01-23,32957.90878
11-2022,1272765000,2021-01-24,32068.08737
10-2022,1148820000,2021-01-25,32273.51735
09-2022,1613640000,2021-01-26,32375.32006
08-2022,1152950000,2021-01-27,32582.10945
07-2022,974000000,2021-01-28,30445.52587
06-2022,1303910000,2021-01-29,33128.34753
05-2022,3037200000,2021-01-30,34150.81877
04-2022,2226500000,2021-01-31,34199.51981
03-2022,3673650000,2021-02-01,33064.78677
02-2022,2795436900,2021-02-02,33405.99036
01-2022,2598270000,2021-02-03,35485.98593
12-2021,3657180000,2021-02-04,37494.71762
11-2021,7078710000,2021-02-05,36816.50808
10-2021,3740775000,2021-02-06,38007.83223
09-2021,3139910000,2021-02-07,39279.41287
08-2021,3222690000,2021-02-08,38833.34026
07-2021,2621150000,2021-02-09,46307.57412
06-2021,2258140000,2021-02-10,46569.56483
05-2021,3553520000,2021-02-11,44848.69345
04-2021,1631130000,2021-02-12,47815.96176
03-2021,2636790000,2021-02-13,47414.18626
02-2021,1635150000,2021-02-14,46941.29209
01-2021,1171580000,2021-02-15,48607.87452
,,2021-02-16,47898.48703
,,2021-02-17,49238.13691
,,2021-02-18,52143.67884
,,2021-02-19,51733.07554
,,2021-02-20,56038.72776
,,2021-02-21,56377.63348
,,2021-02-22,57669.30353
,,2021-02-23,54410.85629
,,2021-02-24,48691.89483
,,2021-02-25,49849.37871
,,2021-02-26,46992.66545
,,2021-02-27,46551.48748
,,2021-02-28,46653.5264
,,2021-03-01,44970.16346
,,2021-03-02,49787.33996
,,2021-03-03,48532.23679
,,2021-03-04,50577.45747
,,2021-03-05,48727.4512
,,2021-03-06,49091.81488
,,2021-03-07,49019.36859
,,2021-03-08,51313.09262
,,2021-03-09,52328.53591
,,2021-03-10,54700.27344
,,2021-03-11,56020.48772
,,2021-03-12,57788.8681
,,2021-03-13,57353.86147
,,2021-03-14,61315.19793
,,2021-03-15,59428.96757
,,2021-03-16,55805.32925
,,2021-03-17,56830.25334
,,2021-03-18,59014.92563
,,2021-03-19,57922.40959
,,2021-03-20,58243.27061
,,2021-03-21,58376.15847
,,2021-03-22,57573.53934
,,2021-03-23,54370.13756
,,2021-03-24,54584.86995
,,2021-03-25,52526.8666
,,2021-03-26,51416.9083
,,2021-03-27,55033.10048
,,2021-03-28,55832.41811
,,2021-03-29,55728.10133
,,2021-03-30,57634.92869
,,2021-03-31,58668.62834
,,2021-04-01,58817.37389
,,2021-04-02,58801.19484
,,2021-04-03,59060.02678
,,2021-04-04,57060.40665
,,2021-04-05,58228.80262
,,2021-04-06,58706.81559
,,2021-04-07,58062.17872
,,2021-04-08,56134.41739
,,2021-04-09,58065.64402
,,2021-04-10,58152.99326
,,2021-04-11,59979.39282
,,2021-04-12,59988.02096
,,2021-04-13,59911.02059
,,2021-04-14,63576.67604
,,2021-04-15,62807.12323
,,2021-04-16,63179.77245
,,2021-04-17,61497.29957
,,2021-04-18,60273.86668
,,2021-04-19,56288.94534
,,2021-04-20,55721.16605
,,2021-04-21,56294.72856
,,2021-04-22,54190.07026
,,2021-04-23,51965.56643
,,2021-04-24,51191.1247
,,2021-04-25,50133.1074
,,2021-04-26,48981.44139
,,2021-04-27,53978.80555
,,2021-04-28,54991.81484
,,2021-04-29,54810.61385
,,2021-04-30,53596.70402
,,2021-05-01,57828.51181
,,2021-05-02,57812.96916
,,2021-05-03,56600.74529
,,2021-05-04,57200.3003
,,2021-05-05,53464.37022
,,2021-05-06,57432.10023
,,2021-05-07,56507.75944
,,2021-05-08,57361.56904
,,2021-05-09,58771.88169
,,2021-05-10,58213.92629
,,2021-05-11,55901.66759
,,2021-05-12,56928.97236
,,2021-05-13,50004.76218
,,2021-05-14,49972.7954
,,2021-05-15,49913.26314
,,2021-05-16,46780.9023
,,2021-05-17,46585.06414
,,2021-05-18,43780.8256
,,2021-05-19,43091.04145
,,2021-05-20,37287.3914
,,2021-05-21,40437.7301
,,2021-05-22,37339.6342
,,2021-05-23,37520.31768
,,2021-05-24,34977.5278
,,2021-05-25,38642.4423
,,2021-05-26,38210.80522
,,2021-05-27,39406.93424
,,2021-05-28,38642.89555
,,2021-05-29,35710.22094
,,2021-05-30,34775.07941
,,2021-05-31,35714.75202
,,2021-06-01,37340.67927
,,2021-06-02,36680.0682
,,2021-06-03,37685.71798
,,2021-06-04,39151.31618
,,2021-06-05,36938.72031
,,2021-06-06,35546.98596
,,2021-06-07,35834.47447
,,2021-06-08,33451.38341
,,2021-06-09,33557.15068
,,2021-06-10,37553.64376
,,2021-06-11,36903.30491
,,2021-06-12,37289.43252
,,2021-06-13,35666.14978
,,2021-06-14,39147.70568
,,2021-06-15,40624.51305
,,2021-06-16,40378.20255
,,2021-06-17,38321.45466
,,2021-06-18,38193.61914
,,2021-06-19,35881.11137
,,2021-06-20,35581.64227
,,2021-06-21,35787.07741
,,2021-06-22,31711.93547
,,2021-06-23,32507.73871
,,2021-06-24,33702.61779
,,2021-06-25,34675.44911
,,2021-06-26,31943.13647
,,2021-06-27,32023.9739
,,2021-06-28,34607.29327
,,2021-06-29,34556.84213
,,2021-06-30,35968.99367
,,2021-07-01,35171.4863
,,2021-07-02,33677.56624
,,2021-07-03,33950.78656
,,2021-07-04,34729.89078
,,2021-07-05,35394.21307
,,2021-07-06,33928.13422
,,2021-07-07,34149.98981
,,2021-07-08,33932.25464
,,2021-07-09,32933.5782
,,2021-07-10,33971.29775
,,2021-07-11,33704.53847
,,2021-07-12,34299.93802
,,2021-07-13,33262.65435
,,2021-07-14,32676.3838
,,2021-07-15,32878.50187
,,2021-07-16,31726.03883
,,2021-07-17,31399.65313
,,2021-07-18,31588.67135
,,2021-07-19,31919.39392
,,2021-07-20,30928.21191
,,2021-07-21,29971.90378
,,2021-07-22,32383.78113
,,2021-07-23,32409.49977
,,2021-07-24,33455.55127
,,2021-07-25,34213.59993
,,2021-07-26,35456.12466
,,2021-07-27,37281.91809
,,2021-07-28,39076.59377
,,2021-07-29,40031.19824
,,2021-07-30,39977.75694
,,2021-07-31,41936.26148
,,2021-08-01,41754.1666
,,2021-08-02,39914.82976
,,2021-08-03,39278.76651
,,2021-08-04,38368.35401
,,2021-08-05,39751.58458
,,2021-08-06,40825.38194
,,2021-08-07,42802.13717
,,2021-08-08,44647.5776
,,2021-08-09,43753.21786
,,2021-08-10,46311.0019
,,2021-08-11,45639.51402
,,2021-08-12,45652.06013
,,2021-08-13,44495.20979
,,2021-08-14,47717.27053
,,2021-08-15,47088.85313
,,2021-08-16,47025.00323
,,2021-08-17,46031.75754
,,2021-08-18,44534.45485
,,2021-08-19,45015.46555
,,2021-08-20,46745.03462
,,2021-08-21,49195.8786
,,2021-08-22,48933.68915
,,2021-08-23,49250.54487
,,2021-08-24,49518.57749
,,2021-08-25,47940.60791
,,2021-08-26,49002.70377
,,2021-08-27,47229.07065
,,2021-08-28,49083.10331
,,2021-08-29,48936.53725
,,2021-08-30,48907.27073
,,2021-08-31,47124.25422
,,2021-09-01,47335.4203
,,2021-09-02,48823.05521
,,2021-09-03,49338.78465
,,2021-09-04,49934.52828
,,2021-09-05,50013.02995
,,2021-09-06,51696.20643
,,2021-09-07,52739.80017
,,2021-09-08,46995.16417
,,2021-09-09,46085.02862
,,2021-09-10,46518.94119
,,2021-09-11,44802.6064
,,2021-09-12,45196.48828
,,2021-09-13,46195.2183
,,2021-09-14,45139.83397
,,2021-09-15,47135.432
,,2021-09-16,48186.53276
,,2021-09-17,47879.47344
,,2021-09-18,47228.65822
,,2021-09-19,48266.62707
,,2021-09-20,47371.03933
,,2021-09-21,42932.9466
,,2021-09-22,40386.62364
,,2021-09-23,43587.22305
,,2021-09-24,44980.89821
,,2021-09-25,42752.16815
,,2021-09-26,42856.85516
,,2021-09-27,43336.86123
,,2021-09-28,42247.35573
,,2021-09-29,41010.3752
,,2021-09-30,41587.66786
,,2021-10-01,43859.32615
,,2021-10-02,48181.87627
,,2021-10-03,47777.76202
,,2021-10-04,48282.97114
,,2021-10-05,49260.23232
,,2021-10-06,51668.99422
,,2021-10-07,55415.00574
,,2021-10-08,53894.59599
,,2021-10-09,54010.93747
,,2021-10-10,55125.46034
,,2021-10-11,54711.8696
,,2021-10-12,57572.51086
,,2021-10-13,56335.03546
,,2021-10-14,57487.98588
,,2021-10-15,57452.43179
,,2021-10-16,61809.02394
,,2021-10-17,61165.63564
,,2021-10-18,61583.77444
